ID	f_ID	RAh	RAm	RAs	DEd	DEm	DEs	SpType	r_SpType	Adopt	Mem	Teff	AJ	LBol	R-I	Imag	I-Z	J-H	H-K	Kmag	RefPhot	IMF?
180		3.0	44.0	21.76	32.0	12.0	31.4	M3.5/4{+/-}0.5	7	M3.5	A_V_,NaK	3342.0	0.52	0.12		14.92	0.67	0.84	0.28	12.01	9	yes
182		3.0	44.0	18.2	32.0	9.0	59.3	M4.25/6{+/-}1	7	M4.25	A_V_,NaK	3234.0	0.86	0.15		15.74	0.83	0.91	0.43	11.87	9	yes
184		3.0	44.0	53.76	32.0	6.0	52.2	M4/5{+/-}1	8	M4	A_V_,NaK	3270.0	1.1	0.18		15.84	0.87	0.99	0.4	11.91	9	yes
186		3.0	44.0	46.33	32.0	11.0	16.8	M2	6	M2	A_V_	3560.0	2.29	0.31	2.47	17.39	1.12	1.47	0.59	11.99	9	no
187A	k	3.0	44.0	6.11	32.0	7.0	7.2	M4.25/5.5{+/-}0.5	7	M4.25	A_V_	3234.0	1.31	0.15		16.36	0.96	0.89	0.42	12.0	9	no
187B		3.0	44.0	6.21	32.0	7.0	6.7									17.05	0.76					yes
188		3.0	44.0	56.12	32.0	5.0	56.7	M2.5-M3/5{+/-}0.5	6	M2.75	A_V_,NaK	3451.0	0.51	0.13		14.91	0.63	0.85	0.25	11.98	9	yes
190		3.0	44.0	29.21	32.0	1.0	15.8	M3.75/5{+/-}1	7	M3.75	A_V_,NaK	3306.0	2.0	0.16	2.52	17.93	1.1	1.47	0.84	12.02	9	no
191		3.0	44.0	37.84	32.0	10.0	7.4	M1-M3(IR),K7	2,7	K7	A_V_	4060.0	2.31	0.33	2.35	17.36	0.99	1.57	0.6	11.98	9	no
192		3.0	44.0	23.64	32.0	1.0	52.8	M4-M5/40{+/-}20	8	M4.5	A_V_,e	3198.0	2.22	0.16	2.75	18.54	1.31	1.5	0.83	12.14	9	no
193		3.0	44.0	38.01	32.0	11.0	37.1	M2-M4(IR),M4/50{+/-}4	2,7	M4	A_V_,e,NaK	3270.0	0.86	0.12		15.52	0.8	0.98	0.5	12.02	9	yes
194		3.0	44.0	27.25	32.0	10.0	37.3	M1/26v,>K5(IR),M4.75/100{+/-}10	5,2,7	M4.75	A_V_,e,NaK	3161.0	0.86	0.09		15.88	0.89	1.08	0.71	11.95	9	yes
198		3.0	44.0	34.45	32.0	6.0	25.0	M5.5/4{+/-}0.5	7	M5.5	A_V_,NaK	3058.0	0.72	0.12		16.07	0.97	0.84	0.45	12.09	9	yes
200		3.0	43.0	33.67	32.0	1.0	45.4	M5/5{+/-}1	7	M5	A_V_,NaK	3125.0	0.66	0.1		15.65	0.86	0.79	0.35	12.22	3	no
201		3.0	45.0	1.49	32.0	12.0	29.1	M4/5{+/-}1	8	M4	A_V_,NaK	3270.0	0.55	0.11		15.25	0.71	0.88	0.28	12.12	9	yes
203		3.0	44.0	18.1	32.0	10.0	53.5	M0-M1.5/30{+/-}10	7	M0.75	A_V_,e	3741.0	1.28	0.021	1.64	18.24	0.82	2.14	1.63	12.27	9	no
205		3.0	44.0	29.8	32.0	0.0	54.6	M6/140{+/-}15	8	M6	A_V_,e,NaK	2990.0	0.66	0.095		16.46	1.04	0.76	0.56	12.26	9	yes
207		3.0	44.0	30.3	32.0	7.0	42.6	K6-M1(IR),M3-M4	2,7	M3.5	A_V_	3342.0	1.78	0.17	2.31	17.16	1.04	1.31	0.55	12.15	9	no
210		3.0	44.0	20.02	32.0	6.0	45.5	M3.5/9{+/-}0.5	6	M3.5	A_V_,NaK	3342.0	0.9	0.12		15.81	0.78	0.93	0.37	12.22	9	yes
213		3.0	44.0	21.27	32.0	12.0	37.3	M4.75/6{+/-}2	7	M4.75	NaK	3161.0	0.59	0.073		15.92	0.81	0.83	0.38	12.48	9	yes
214		3.0	44.0	7.51	32.0	4.0	8.9	M4.75/7{+/-}1.5	7	M4.75	NaK	3161.0	0.59	0.099		15.59	0.81	0.76	0.38	12.22	9	yes
216		3.0	44.0	40.8	32.0	13.0	6.9	M4/6{+/-}1.5	7	M4	A_V_,NaK	3270.0	0.97	0.11		15.94	0.83	0.99	0.35	12.35	9	yes
217		3.0	44.0	43.05	32.0	10.0	15.3	M3/4,M4-M6(IR),M5/10{+/-}3	5,2,7	M5	A_V_,NaK	3125.0	0.9	0.11		16.07	0.93	0.9	0.43	12.21	9	yes
218		3.0	44.0	44.66	32.0	7.0	30.3	M4/8,K6-M1?(IR),M5.25/11{+/-}3	5,2,7	M5.25	A_V_,NaK	3091.0	1.15	0.11	2.43	16.87	1.08	1.01	0.52	12.27	9	no
221	h	3.0	44.0	40.24	32.0	9.0	33.2	>K5(IR),M4.5/40{+/-}5	2,7	M4.5	A_V_,e,NaK	3198.0	0.91	0.068	2.08	16.57	0.85	1.08	0.57	12.46	9	yes
223		3.0	44.0	41.45	32.0	13.0	9.8	M5/5{+/-}1	8	M5	NaK	3125.0	0.48	0.074		15.68	0.81	0.79	0.33	12.44	9	yes
224		3.0	44.0	55.36	32.0	9.0	34.8	M4.75/7.5{+/-}1	8	M4.75	A_V_,NaK	3161.0	0.97	0.11		16.32	0.92	0.93	0.41	12.3	9	yes
226	h	3.0	44.0	31.42	32.0	11.0	29.4	M2-M4(IR),M5.25/3{+/-}1	2,7	M5.25	NaK	3091.0	0.47	0.078		15.74	0.85	0.76	0.39	12.36	9	yes
228		3.0	44.0	31.18	32.0	5.0	58.8	K7-M2/200{+/-}50	7	M0.5	A_V_,e	3778.0	1.95	0.097		18.28	0.98	1.64	1.25	12.18	9	no
229		3.0	44.0	57.86	32.0	4.0	1.8	M5.25/4.5{+/-}0.5	8	M5.25	NaK	3091.0	0.33	0.071		15.69	0.81	0.76	0.35	12.37	9	yes
230		3.0	44.0	35.52	32.0	8.0	4.5	>K5(IR),M5.25	2,7	M5.25	A_V_,NaK	3091.0	0.81	0.094		16.3	0.95	0.88	0.44	12.34	9	yes
237		3.0	44.0	23.57	32.0	9.0	34.0	M3/5,M5/7,M4-M6?(IR)	5,2,2	M5	A_V_,NaK	3125.0	0.48	0.074		15.74	0.81	0.8	0.4	12.36	9	yes
240		3.0	44.0	52.1	32.0	4.0	46.9	M3.5-M4.5	8	M4	A_V_,NaK	3270.0	0.86	0.094		16.05	0.8	0.9	0.35	12.5	9	yes
241		3.0	44.0	59.84	32.0	13.0	32.2	M4.5/80{+/-}8	7	M4.5	A_V_,e,NaK	3198.0	0.9	0.086		16.21	0.87	1.01	0.44	12.39	9	yes
242		3.0	44.0	32.8	32.0	4.0	13.3	M5/30{+/-}15	8	M5	A_V_,NaK	3125.0	0.45	0.065				0.76	0.41	12.5	9	yes
243		3.0	44.0	7.71	32.0	5.0	5.1	M4.5/3{+/-}0.5	7	M4.5	A_V_,NaK	3198.0	1.1	0.089	2.15	16.71	0.93	1.03	0.5	12.48	9	yes
247		3.0	44.0	37.33	32.0	7.0	11.1	M4.75	7	M4.75	A_V_,NaK	3161.0	1.39	0.12	2.42	17.04	1.05	1.06	0.52	12.42	9	no
248		3.0	44.0	35.95	32.0	9.0	24.3	>K5(IR),M5.25/30{+/-}5	2,7	M5.25	A_V_,NaK,e	3091.0	0.78	0.07		16.56	0.94	0.9	0.52	12.53	9	yes
252		3.0	44.0	29.12	32.0	7.0	57.4	M4/4,M0-M3(IR),M4.5	5,2,7	M4.5	NaK	3198.0	0.55	0.072		15.79	0.77	0.82	0.33	12.55	9	yes
253		3.0	44.0	31.65	32.0	6.0	53.4	M5.5/11{+/-}1	7	M5.5	A_V_,NaK	3058.0	0.62	0.086		16.1	0.94	0.76	0.4	12.42	9	yes
254		3.0	43.0	53.8	32.0	7.0	30.3	M4.25/4{+/-}1	7	M4.25	A_V_,NaK	3234.0	0.79	0.09		16.07	0.81	0.84	0.34	12.53	9	yes
255		3.0	44.0	35.7	32.0	4.0	52.7	M5.75/6.5{+/-}1	7	M5.75	NaK	3024.0	0.22	0.056		16.1	0.87	0.69	0.39	12.62	9	yes
256		3.0	43.0	55.27	32.0	7.0	53.4	M5.75/34{+/-}2	8	M5.75	e,NaK	3024.0	0.36	0.068		16.08	0.91	0.62	0.43	12.56	9	yes
259A	l	3.0	44.0	3.64	32.0	2.0	35.1	M4.5-M6,M5/11{+/-}2	8,7	M5	A_V_,NaK	3125.0	0.45	0.04		16.44	0.8	0.66	0.37	12.51	9	yes
259B		3.0	44.0	3.61	32.0	2.0	33.1						0.52	0.04		16.57	0.82					yes
261		3.0	43.0	48.62	32.0	13.0	50.9	M5/6{+/-}0.5	7	M5	A_V_,NaK	3125.0	0.28	0.06		15.86	0.75	0.61	0.34	12.64	9	no
262		3.0	44.0	55.93	32.0	7.0	26.9	M4.75/5{+/-}1	7	M4.75	A_V_,NaK	3161.0	0.69	0.075		16.15	0.84	0.85	0.36	12.56	9	yes
266		3.0	44.0	18.26	32.0	7.0	32.5	M4.75/4.5{+/-}0.5	8	M4.75	A_V_,NaK	3161.0	0.69	0.078		16.04	0.84	0.8	0.36	12.57	9	yes
276		3.0	44.0	9.2	32.0	2.0	37.9	K7-M1/35{+/-}15	7	M0	A_V_,e	3850.0	1.76	0.092	1.77	19.06	0.96	1.42	1.06	12.49	9	no
277		3.0	44.0	39.44	32.0	10.0	8.2	M5/5{+/-}1	8	M5	A_V_,NaK	3125.0	0.55	0.057		16.06	0.83	0.81	0.35	12.75	9	yes
278		3.0	44.0	31.03	32.0	5.0	45.9	M5.5/6.5{+/-}1	7	M5.5	A_V_,NaK	3058.0	0.69	0.061		16.75	0.96	0.85	0.42	12.76	9	yes
285		3.0	44.0	31.84	32.0	12.0	44.2	M4-M5	8	M4.5	A_V_	3198.0	1.9	0.093	2.58	18.08	1.2	1.35	0.65	12.76	9	no
286		3.0	45.0	6.71	32.0	9.0	30.7	M5.75/6{+/-}1	8	M5.75	A_V_,NaK	3024.0	0.48	0.061				0.75	0.37	12.74	9	yes
287		3.0	44.0	41.12	32.0	8.0	7.5	M5-M5.5	2	M5.25	A_V_,NaK	3091.0	1.44	0.071	2.6	17.97	1.17	1.14	0.59	12.86	9	no
291		3.0	44.0	34.05	32.0	6.0	56.9	M7.25/45{+/-}5	7	M7.25	A_V_,e,NaK	2838.0	0.3	0.032		17.09	1.1	0.79	0.55	12.73	9	yes
292		3.0	43.0	59.88	32.0	4.0	41.5	M4.5-M6.5,M5.75/13{+/-}1	8,7	M5.75	A_V_,NaK	3024.0	0.49	0.048	2.3	16.78	0.95	0.78	0.46	12.89	9	yes
294		3.0	44.0	24.58	32.0	10.0	2.9	M4.5	2	M4.5	NaK	3198.0	0.45	0.04		16.32	0.74	0.85	0.35	13.04	9	yes
295		3.0	44.0	29.52	32.0	4.0	4.5	M5-M5.5/10?,M5	8,7	M5	A_V_,NaK	3125.0	1.17	0.071	2.38	17.16	1.02	0.92	0.47	12.89	9	no
298		3.0	44.0	38.88	32.0	6.0	36.4	M6/10{+/-}1	7	M6	NaK	2990.0	0.31	0.047	2.27	16.6	0.95	0.72	0.44	12.82	9	yes
300		3.0	44.0	38.98	32.0	3.0	19.8	M5/110{+/-}10	7	M5	A_V_,e,NaK	3125.0	0.52	0.046		16.4	0.82	0.76	0.46	12.89	9	yes
301		3.0	44.0	22.7	32.0	1.0	42.4	M4.5-M5.5/30?,M4.75/40{+/-}5	8,7	M4.75	A_V_,e,NaK	3161.0	1.74	0.055	2.65	18.7	1.15	1.35	0.84	12.96	9	no
302		3.0	44.0	20.28	32.0	5.0	43.7	M4.75/4{+/-}0.5	7	M4.75	A_V_,NaK	3161.0	1.17	0.075	2.27	17.04	0.99	0.92	0.47	12.85	9	no
303		3.0	44.0	4.43	32.0	4.0	54.0	M5.75/9{+/-}4	7	M5.75	A_V_,NaK	3024.0	0.47	0.05		16.6	0.94	0.68	0.44	12.94	9	yes
308		3.0	44.0	21.23	32.0	1.0	14.6	M3-M5	7	M4	A_V_	3270.0	3.0	0.072		21.03	1.42	1.94	1.16	13.08	9	no
309		3.0	44.0	31.34	32.0	9.0	29.2	M3/10	5	M3	A_V_	3415.0	1.8	0.14	2.46	16.75	0.92	0.78	0.41	13.09	9	no
312		3.0	43.0	55.09	32.0	7.0	14.6	M6	8	M6	A_V_,NaK	2990.0	0.41	0.046	2.32	16.8	0.99	0.68	0.43	13.01	9	yes
314		3.0	44.0	22.56	32.0	1.0	27.8	M4.5-M5.5	8	M5	A_V_	3125.0	1.6	0.049	2.62	18.8	1.16	1.33	0.72	13.08	9	no
316		3.0	44.0	57.73	32.0	7.0	41.9	M6.5/4{+/-}1	7	M6.5	NaK	2935.0	0.35	0.033	2.48	17.18	1.05	0.74	0.48	13.05	9	yes
319		3.0	45.0	1.0	32.0	12.0	22.5	M5.5/16{+/-}1	8	M5.5	e,NaK	3058.0	0.31	0.038		16.51	0.85	0.77	0.38	13.03	9	yes
322		3.0	44.0	19.59	32.0	2.0	24.9	M4/9{+/-}2,M4.25	8,7	M4.25	A_V_,NaK	3234.0	1.25	0.053	2.25	17.53	0.9	1.04	0.52	13.18	9	no
324		3.0	44.0	45.23	32.0	10.0	55.9	M5.5-M6/25{+/-}12	2	M5.75	A_V_,NaK	3024.0	0.53	0.034	2.33	17.14	0.96	0.91	0.45	13.2	9	yes
325		3.0	44.0	30.06	32.0	8.0	49.0	M6	2	M6	A_V_,NaK	2990.0	0.86	0.044	2.72	17.55	1.07	0.88	0.56	13.19	9	yes
329		3.0	44.0	15.58	32.0	9.0	21.9	M7.5/15{+/-}2	7	M7.5	A_V_,e,NaK	2795.0	0.16	0.018	2.53	17.64	1.12	0.72	0.52	13.33	9	yes
334		3.0	44.0	26.66	32.0	2.0	36.4	M5.75/27{+/-}1	8	M5.75	e,NaK	3024.0	0.36	0.033	2.28	16.88	0.88	0.73	0.44	13.25	9	yes
335		3.0	44.0	44.24	32.0	8.0	47.5	M5.75/6	2	M5.75	NaK	3024.0	0.73	0.04	2.42	17.34	1.03	0.8	0.48	13.28	9	yes
336		3.0	44.0	32.36	32.0	3.0	27.4	M5-M6/200{+/-}50	8	M5.5	e	3058.0	0.68	0.028	2.28	17.63	0.97	0.84	0.52	13.5	9	yes
341		3.0	44.0	12.98	32.0	13.0	15.7	M5.25	7	M5.25	NaK	3091.0	0.62	0.039	2.19	16.77	0.88	0.8	0.42	13.19	9	yes
342		3.0	44.0	41.32	32.0	4.0	53.5	M5/7{+/-}1	7	M5	A_V_,NaK	3125.0	0.9	0.046	2.27	17.02	0.91	0.83	0.4	13.26	9	yes
344		3.0	45.0	0.64	32.0	8.0	19.3	M4.5-M5.5/6{+/-}2,M4.5/5.5{+/-}1	8,7	M4.5	NaK	3198.0	0.45	0.037		16.36	0.74	0.74	0.3	13.27	9	yes
347		3.0	44.0	27.28	32.0	7.0	17.6	M4.75/4.5{+/-}0.5	7	M4.75	A_V_,NaK	3161.0	0.65	0.038	2.01	16.72	0.81	0.81	0.36	13.29	9	yes
350		3.0	44.0	19.18	32.0	5.0	59.9	M5.75/10{+/-}1	7	M5.75	NaK	3024.0	0.44	0.038	2.25	16.91	0.94	0.72	0.38	13.22	9	yes
351		3.0	44.0	25.76	32.0	9.0	6.0	M5.5	2	M5.5	A_V_,NaK	3058.0	0.88	0.04	2.43	17.62	1.02	0.93	0.49	13.27	9	yes
353		3.0	44.0	38.16	32.0	10.0	21.6	M6/12	2	M6	NaK	2990.0	0.44	0.035	2.46	16.87	0.94	0.76	0.45	13.25	9	yes
355		3.0	44.0	39.21	32.0	8.0	13.8	M8	2	M8	NaK	2710.0	0.38	0.016	2.76	18.17	1.25	0.85	0.57	13.46	9	yes
358		3.0	44.0	12.76	32.0	10.0	55.3	M5.5/6{+/-}0.5	7	M5.5	NaK	3058.0	0.26	0.024	2.07	16.79	0.82	0.69	0.36	13.56	9	yes
360		3.0	44.0	43.72	32.0	10.0	48.1	M4/8,M4.75/9	5,2	M4.75	NaK	3161.0	0.24	0.024		16.4	0.71	0.7	0.3	13.54	9	yes
363		3.0	44.0	17.27	32.0	0.0	15.4	M8/12{+/-}4	8	M8	NaK	2710.0	0.19	0.013	2.62	17.97	1.11	0.76	0.56	13.6	9	yes
365		3.0	44.0	10.23	32.0	7.0	34.5	M5.75/4{+/-}1	7	M5.75	A_V_,NaK	3024.0	0.4	0.028	2.22	17.26	0.93	0.72	0.47	13.45	9	yes
366		3.0	44.0	35.01	32.0	8.0	57.4	M4.75/5	2	M4.75	NaK	3161.0	0.83	0.032		17.33	0.88	0.79	0.45	13.6	9	yes
367		3.0	43.0	59.16	32.0	5.0	56.7	M6-M7,M5.75/8{+/-}1	8,7	M5.75	NaK	3024.0	0.52	0.029	2.32	17.36		0.73	0.46	13.49	9	yes
373		3.0	44.0	27.97	32.0	5.0	19.6	M5.5/13.5{+/-}1	7	M5.5	NaK	3058.0	0.35	0.021	2.1	17.18	0.86	0.7	0.4	13.74	9	yes
382		3.0	44.0	30.95	32.0	2.0	44.2	M6-M7/60{+/-}20,M5-M6/60{+/-}30	8,7	M5.5	A_V_,e,NaK	3058.0	1.44	0.032	2.63	18.95	1.25	1.01	0.7	13.77	9	no
385		3.0	44.0	28.87	32.0	4.0	22.9	M5.75/10{+/-}1	7	M5.75	A_V_,NaK	3024.0	0.78	0.027	2.45	17.94	1.05	0.77	0.49	13.79	9	yes
391		3.0	44.0	46.59	32.0	9.0	1.9	M5.75/11{+/-}1.5	7	M5.75	A_V_,NaK	3024.0	1.08	0.026	2.63	18.63	1.14	0.97	0.56	13.85	9	yes
396		3.0	44.0	2.33	32.0	10.0	15.6	M5.25/7{+/-}1.5	7	M5.25	A_V_,NaK	3091.0	0.87	0.029	2.45	17.57	0.91	0.8	0.44	13.74	9	yes
405		3.0	44.0	21.15	32.0	6.0	16.6	M8/8{+/-}2	8	M8	NaK	2710.0	0.2	0.01	2.62	18.34	1.2	0.72	0.57	13.91	9	yes
407		3.0	45.0	4.13	32.0	5.0	4.7	M6.5-M7.5/100{+/-}20	8	M7	A_V_,e,NaK	2880.0	0.76	0.0062	2.77	19.5	1.1	0.96	0.67	14.69	9	yes
413		3.0	44.0	45.66	32.0	11.0	10.9	M4/3,M4.75	5,2	M4.75	A_V_,NaK	3161.0	0.97	0.028	2.39	17.29	0.82	0.79	0.36	13.97	9	yes
414		3.0	44.0	44.29	32.0	10.0	37.0	M5.25/7	2	M5.25	NaK	3091.0	0.68	0.017	2.33	17.68	0.85	0.73	0.37	14.31	9	yes
415		3.0	44.0	29.97	32.0	9.0	39.5	M6-M7/250{+/-}30,M6.5/160{+/-}20	2,7	M6.5	A_V_,e,NaK	2935.0	0.82	0.022	2.72	18.43	1.23	0.84	0.66	13.7	9	yes
432		3.0	44.0	45.94	32.0	3.0	57.0	M5-M6.5	8	M5.75	A_V_	3024.0	0.81	0.025	2.48	18.18	1.05	0.87	0.56	13.71	9	yes
435		3.0	44.0	30.29	32.0	11.0	35.2	M1.5-M3/155{+/-}15	7	M2.25	A_V_,e	3524.0	0.75	0.005	1.45	19.19	0.71	1.21	0.84	14.9	9	no
437		3.0	43.0	56.38	32.0	9.0	59.1	M7.25	7	M7.25	NaK	2838.0	0.36	0.0099	2.67	18.61	1.08	0.79	0.52	14.1	9	yes
454		3.0	44.0	41.58	32.0	10.0	39.5	M5.75/140{+/-}20	2	M5.75	e,NaK	3024.0	0.37	0.014	2.14	17.81	0.95	0.77	0.41	14.2	9	yes
456		3.0	45.0	5.32	32.0	12.0	16.4	M5-M6/38{+/-}5	8	M5.5	A_V_,e,NaK	3058.0	0.81	0.022	2.47	17.95	0.96	0.84	0.47	13.96	9	yes
462		3.0	44.0	24.46	32.0	1.0	43.8	M2-M4/{~}200	6	M3	A_V_,e	3415.0	2.32	0.062	2.5	19.18	1.2	1.09	0.77	13.81	9	no
468		3.0	44.0	11.07	32.0	1.0	43.7	M8.25/400{+/-}50	7	M8.25	A_V_,e,NaK	2632.0	0.61	0.0045		20.55	1.38	1.11	0.82	14.6	9	yes
478		3.0	44.0	35.94	32.0	11.0	17.5	M6-M7/100{+/-}20	2	M6.25	A_V_,e,NaK	2962.0	0.56	0.0097	2.52	18.5	1.04	0.85	0.49	14.54	9	yes
486		3.0	44.0	59.1	32.0	10.0	11.2	M5.75	7	M5.75	A_V_,NaK	3024.0	0.61	0.0063	2.31	19.27	1.01	0.89	0.43	15.13	9	yes
555		3.0	44.0	41.23	32.0	6.0	27.2	M5.75/28{+/-}3	7	M5.75	A_V_,e,NaK	3024.0	0.43	0.039	2.31	16.86	0.91	0.74	0.44	13.1	9	yes
598		3.0	44.0	25.8	32.0	10.0	58.8	M6-M9?	7	M6	A_V_	2990.0	1.38	0.0056		21.65	1.25	1.69	0.92	14.77	9	no
603		3.0	44.0	33.42	32.0	10.0	31.4	M8.5/35{+/-}5	7	M8.5	e,NaK	2555.0	0.11	0.0035		19.95	1.18	0.72	0.59	15.02	9	yes
611		3.0	44.0	30.36	32.0	9.0	44.7	M8	8	M8	NaK	2710.0	0.33	0.004		19.61	1.17	0.86	0.5	14.99	9	yes
613		3.0	44.0	26.88	32.0	9.0	26.2	M8.25	8	M8.25	NaK	2632.0	0.28	0.0024		19.8	1.12	0.85	0.61	15.4	9	yes
621		3.0	44.0	37.64	32.0	8.0	32.9	M5-M6/300{+/-}100	7	M5.5	A_V_,e	3058.0	0.93	0.00095		21.73	1.03	1.59	0.68	16.54	9	no
622		3.0	44.0	31.34	32.0	8.0	11.5	M6/95{+/-}10	7	M6	A_V_,e,NaK	2990.0	0.59	0.0023		20.13	1.02	0.63	0.52	16.39	9	no
624		3.0	44.0	26.36	32.0	8.0	9.9	M8.5-M9.25	7	M9	NaK	2400.0	0.45	0.0015		21.55	1.31	0.84	0.61	16.25	9	yes
690		3.0	44.0	36.39	32.0	3.0	5.5	M8.75/40{+/-}20	7	M8.75	e,NaK	2478.0	0.14	0.0028		20.02	1.22	0.84	0.49	15.29	9	yes
694		3.0	45.0	0.46	32.0	3.0	20.4	M5.5	7	M5.5	A_V_,NaK	3058.0	1.69	0.043	2.76	19.58	1.34	1.43	0.88	13.12	9	no
703		3.0	44.0	36.62	32.0	3.0	44.3	M8/140{+/-}30	7	M8	A_V_,e,NaK	2710.0	0.49	0.0035		20.1	1.22	0.95	0.56	15.14	9	yes
705		3.0	44.0	27.18	32.0	3.0	46.6	M8.5-M9.25	7	M9	NaK	2400.0	0.66	0.003		20.93	1.43	0.84	0.48	15.79	9	yes
725		3.0	44.0	33.69	32.0	5.0	20.5	M5.5-M6.5/90{+/-}20	7	M6	A_V_,e	2990.0	0.14	0.00087		20.91	0.89	0.79	0.38	16.99	9	no
738		3.0	44.0	33.69	32.0	5.0	46.7	M8.75/70{+/-}40	7	M8.75	e,NaK	2478.0	0.07	0.0012		20.92	1.16	0.57	0.71	16.19	9	yes
761		3.0	44.0	19.66	32.0	6.0	45.9	M6.5-M7.5/28{+/-}7	7	M7	e,NaK	2880.0	0.49	0.0089		20.03	1.14	0.33	0.79	14.54	9	yes
906		3.0	45.0	3.61	32.0	12.0	14.0	M8.25	7	M8.25		2632.0	0.0	0.0016		20.08	1.08	0.78	0.5	15.78	9	yes
935		3.0	44.0	26.91	32.0	12.0	50.6	M8.25	7	M8.25	NaK	2632.0	0.0	0.0028	2.17	19.32	1.09	0.73	0.61	15.09	9	yes
1434		3.0	44.0	22.97	32.0	7.0	18.9	M5.5-M6.5/40{+/-}15	7	M6	A_V_,e,NaK	2990.0	1.14	0.0018		21.11	1.18	0.95	0.18	17.26	9	no
1676		3.0	45.0	1.09	32.0	2.0	26.3	M5.75/9.5{+/-}1.5	7	M5.75	NaK	3024.0	0.35	0.034	2.22	16.74	0.9	0.72	0.38	13.24	9	yes
1684		3.0	44.0	23.3	32.0	1.0	54.5	M5.75/13.5{+/-}1.5	7	M5.75	NaK	3024.0	0.46	0.026	2.32	17.29	0.92	0.73	0.48	13.57	9	yes
1719		3.0	44.0	59.2	32.0	17.0	32.1	M2.25/5{+/-}2	7	M2.25	A_V_	3524.0	1.85	0.31	2.22	16.66	1.0	1.38	0.51	11.69	9	no
1868		3.0	45.0	1.59	32.0	13.0	17.0	M4	7	M4	A_V_,NaK	3270.0	1.0	0.059		16.89	0.84	1.01	0.4	12.99	9	yes
1928		3.0	45.0	5.43	32.0	3.0	8.1	M5.5/25{+/-}10	7	M5.5	A_V_,e,NaK	3058.0	0.79	0.12		16.96	0.99	0.74	0.48	12.2	9	yes
1936		3.0	45.0	4.26	32.0	3.0	5.8	M4.25/3.5{+/-}0.5	7	M4.25	A_V_,NaK	3234.0	0.62	0.056		16.18	0.76	0.81	0.35	12.89	9	yes
1937		3.0	45.0	5.77	32.0	3.0	8.2	M0/3{+/-}0.5	7	M0	A_V_	3850.0	0.48	0.54		13.51	0.54	0.82	0.24	10.71	3	yes
1939		3.0	44.0	52.75	32.0	0.0	56.8	M4.75/3{+/-}0.5	7	M4.75	NaK	3161.0	0.38	0.16		14.74	0.75	0.86	0.35	11.43	9	yes
1940		3.0	45.0	1.09	32.0	3.0	20.2	M4.25/5{+/-}1	7	M4.25	A_V_,NaK	3234.0	0.38	0.047		15.87	0.69	0.75	0.29	12.96	9	yes
4044		3.0	44.0	16.19	32.0	5.0	41.0	M8.5-M9.25/>100	7	M9	e,NaK	2400.0	0.45	0.0017		21.47	1.39	0.93	0.62	15.97	9	yes
10289		3.0	45.0	32.3	32.0	3.0	14.9	M3/7{+/-}1	7	M3	NaK	3415.0	0.34	0.13		14.55	0.59	0.75	0.25	11.89	3	no
10343		3.0	45.0	25.15	32.0	9.0	30.2	M3.75/45{+/-}5	7	M3.75	A_V_,e	3306.0	0.74	0.4		14.23	0.75	0.94	0.52	10.59	3	no
10352		3.0	45.0	20.46	32.0	6.0	34.4	M1/11.5{+/-}1	7	M1	A_V_,e	3705.0	0.9	1.4		13.31	0.69	1.13	0.64	9.35	3	no
10363		3.0	45.0	30.61	32.0	1.0	55.6	K6/0.6{+/-}0.3	7	K6	A_V_	4205.0	0.66	0.71		13.29	0.54	0.79	0.3	10.57	3	no
